scenario, hostVID, hostLVD, hostFDO, hostSSH, hostVIP, hostcVP, hostcF, hostcLV 
S9sli4_3prio40,10.37037037037037,100.0,100.0,100.0,46.285714285714285,39.0,0.0,0.0,
S9sli4_3prio80,0.0,24.324324324324326,0.0,100.0,38.857142857142854,40.0,0.0,0.0,
S9sli4_3prio100,0.0,0.0,0.0,100.0,42.57142857142857,39.0,0.0,0.0,
S10sli4_2prio5,100.0,100.0,100.0,100.0,100.0,51.0,75.0,100.0,
S10sli4_2prio10,100.0,100.0,100.0,100.0,100.0,44.0,0.0,27.77777777777778,
S10sli4_2prio20,100.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0,
S10sli4_2prio30,86.66666666666667,100.0,100.0,100.0,98.85714285714286,43.0,0.0,0.0,
S10sli4_2prio40,0.0,100.0,100.0,100.0,44.285714285714285,37.0,0.0,0.0,
S10sli4_2prio80,0.0,21.62162162162162,0.0,100.0,42.0,48.0,0.0,0.0,
S10sli4_2prio100,0.0,0.0,0.0,100.0,42.0,38.0,0.0,0.0,
S11sli8_3prio5,100.0,100.0,100.0,100.0,100.0,47.0,100.0,16.666666666666664,
S11sli8_3prio10,100.0,100.0,100.0,100.0,100.0,35.0,50.0,0.0,
S11sli8_3prio20,100.0,100.0,100.0,100.0,100.0,41.0,0.0,0.0,
S11sli8_3prio30,97.03703703703704,45.94594594594595,100.0,100.0,98.28571428571429,47.0,0.0,0.0,
S11sli8_3prio40,0.0,24.324324324324326,100.0,100.0,39.14285714285714,41.0,0.0,0.0,
S11sli8_3prio80,0.0,0.0,80.0,100.0,36.57142857142857,42.0,0.0,0.0,
S11sli8_3prio100,0.0,0.0,0.0,100.0,41.42857142857143,33.0,0.0,0.0,
S12sli4_3prio5,100.0,100.0,100.0,100.0,100.0,55.00000000000001,75.0,100.0,
S12sli4_3prio10,100.0,100.0,100.0,100.0,100.0,46.0,0.0,22.22222222222222,
S12sli4_3prio20,100.0,100.0,100.0,100.0,100.0,39.0,0.0,0.0,
S12sli4_3prio30,88.14814814814815,100.0,100.0,100.0,96.0,37.0,0.0,0.0,
S12sli4_3prio40,0.0,100.0,100.0,100.0,37.42857142857143,44.0,0.0,0.0,
S12sli4_3prio80,0.0,24.324324324324326,0.0,100.0,43.42857142857143,42.0,0.0,0.0,
S12sli4_3prio100,0.0,0.0,0.0,100.0,40.57142857142857,35.0,0.0,0.0,
